user_id,date,name_en,name_ro,product_id,product_index
1697,21-05-2015,misc. beverages,Kiwi,5ZSmitjFA8TiPqAnNyLK,92
2507,25-08-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
4620,11-03-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
3365,01-02-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
2978,05-06-2015,ham,Șuncă Praga,cCdqUMwCR9jLNfnZ3SQw,67
2910,28-07-2015,turkey,Piept de curcan dezosat feliat,kPaU4LZhzEEfWe4x0GoS,157
1061,05-09-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3276,03-04-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
1326,19-06-2015,packaged fruit/vegetables,Bomboane gumate cu aromă de fructe Goldbears,i3HNuh8tgAbM4NmDbueJ,103
3023,28-07-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
2185,11-10-2015,ham,Șuncă Praga,cCdqUMwCR9jLNfnZ3SQw,67
3552,16-06-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
1967,20-01-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
4708,20-03-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
2874,15-02-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
4177,13-04-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
1663,07-02-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
2632,02-03-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4162,22-12-2015,red/blush wine,Vin roșu Sangiovese,UmQ4dCfw08lgM1d2NW0a,119
2270,01-07-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
4829,03-11-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
3811,14-04-2015,red/blush wine,Vin roșu Sangiovese,UmQ4dCfw08lgM1d2NW0a,119
4766,29-09-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
2436,12-04-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
3860,05-05-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4875,12-05-2015,frozen potato products,"Cartofi pai, preprăjiți și congelați 10mm",ZKAYdYEO4jETIG4uBXim,62
1587,01-07-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
4038,08-07-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
4750,21-09-2015,flour,Făină de grâu albă superioară,l6b3zurmVLS6AtKhfkSh,53
1199,10-12-2015,sugar,Coca-Cola zero,nQN2zSbkUSRN1qPphjPp,150
1603,30-09-2015,frozen meals,Aripioare de pui crispy,NCezThiOMm6u0dNu3teR,61
3111,31-01-2015,chocolate,Nuci cu cremă de ciocolată,wrbVsKj3P15dKOoBAtU5,28
3894,13-12-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
1456,18-09-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
2022,04-03-2015,herbs,Ierburi de Provence,brqvNjeEVzkEqunvI84U,70
2505,30-11-2015,bottled water,Apă minerală naturală plată,UN1Q1WKwu4OH4UsaccIx,12
4851,20-12-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
4293,04-08-2015,coffee,"Lapte Barista UHT pentru cafea 3,5% grăsime",lEJtZCBevJcXWjFBNosO,34
2775,06-11-2015,pork,Mușchiuleț de porc,pu4rYRkDANc5TejViKSr,111
3693,18-02-2015,berries,Amestec fructe de pădure congelate,6bCistihD9ATUvXkZ81n,9
1202,22-07-2015,soda,Apă minerală naturală necarbogazoasă,vQX0CnTxs1i7cr5Itwrr,138
3699,23-08-2015,berries,Amestec fructe de pădure congelate,6bCistihD9ATUvXkZ81n,9
4152,15-04-2015,fruit/vegetable juice,Suc de fructe Mystic Dragon,ZyTYg2zRrGUEHRSyjgW7,64
4155,26-01-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
4010,29-12-2015,pork,Mușchiuleț de porc,pu4rYRkDANc5TejViKSr,111
4389,20-10-2015,detergent,Detergent de vase MaxPower Pomegranate,YyEmUlaMuFojiZ391vpv,45
3746,17-08-2015,grapes,Struguri albi fără sâmburi,l8aSXt47nkJeuZ9hjfgM,65
2560,17-05-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
1503,25-07-2015,chicken,Mușchiuleț de pui,nFLVAhpb0I9MuFsdFNYs,27
2555,23-12-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3645,12-12-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
3886,11-09-2015,soda,Apă minerală naturală necarbogazoasă,vQX0CnTxs1i7cr5Itwrr,138
2932,20-03-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
1711,18-06-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
4291,08-12-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
1143,25-04-2015,soda,Apă minerală naturală necarbogazoasă,vQX0CnTxs1i7cr5Itwrr,138
4564,08-07-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
3337,14-05-2015,beef,"Mici de porc, vită și oaie",oTDMEOtm4KwL79Jb9khC,8
4931,04-05-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
2623,10-10-2015,processed cheese,Brânză presată negătită Raclette min. 48% grăsime,QgQnSir03bfRl8RMfDWa,115
4581,03-04-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
2635,11-06-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
1095,30-10-2015,packaged fruit/vegetables,Bomboane gumate cu aromă de fructe Goldbears,i3HNuh8tgAbM4NmDbueJ,103
2990,23-05-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
2426,05-06-2015,berries,Amestec fructe de pădure congelate,6bCistihD9ATUvXkZ81n,9
4555,07-11-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
3635,04-09-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
3058,18-05-2015,hamburger meat,Carne de vita pentru burger,VYHuSFYYt5oq8FrRgoPV,68
4391,26-03-2015,hamburger meat,Carne de vita pentru burger,VYHuSFYYt5oq8FrRgoPV,68
1306,23-06-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
1024,10-08-2015,fish,Chifteluțe din pește,Zf6wYMGLVHSTKBMWhvli,52
1295,23-07-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
1661,01-06-2015,packaged fruit/vegetables,Bomboane gumate cu aromă de fructe Goldbears,i3HNuh8tgAbM4NmDbueJ,103
4591,15-05-2015,pastry,Mini patiserie cu telemea,CzDMjyBQlEbKYN6xp90D,105
3169,14-06-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
3915,21-05-2015,misc. beverages,Kiwi,5ZSmitjFA8TiPqAnNyLK,92
1127,14-01-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
3683,10-06-2015,specialty bar,Sare specială pentru mașina de spălat vase,rUCQA4lZ4rPvOtp2Dfoo,143
1971,18-09-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
3779,15-09-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
2489,04-05-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3564,27-06-2015,newspapers,Ulei rafinat de floarea-soarelui de primă presă,q9xnG4msyPGQxxJWG74e,95
4092,30-09-2015,berries,Amestec fructe de pădure congelate,6bCistihD9ATUvXkZ81n,9
3221,13-01-2015,curd,Caș zvântat,3193Ddpsyzr0v4EbSy8f,40
1279,06-09-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
2581,22-08-2015,soda,Apă minerală naturală necarbogazoasă,vQX0CnTxs1i7cr5Itwrr,138
2295,25-02-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
4760,22-02-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
3649,16-01-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
1075,19-11-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
3987,19-08-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
4106,25-08-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4338,24-06-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4166,06-11-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
1211,10-03-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
3954,21-01-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
3928,18-07-2015,butter milk,Praline de ciocolată cu lapte cu caramel și unt sărat Pavés,lwxBSLvZiEszHkCTX7ef,16
3827,30-09-2015,hamburger meat,Carne de vita pentru burger,VYHuSFYYt5oq8FrRgoPV,68
4699,08-02-2015,pasta,Paste Spaghetti,pPR0m0oEabzjAamIYDVC,104
4747,08-06-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
3028,09-06-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
2851,16-03-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
4417,25-02-2015,grapes,Struguri albi fără sâmburi,l8aSXt47nkJeuZ9hjfgM,65
3822,07-03-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
2288,31-05-2015,coffee,"Lapte Barista UHT pentru cafea 3,5% grăsime",lEJtZCBevJcXWjFBNosO,34
2184,30-06-2015,popcorn,Popcorn cu sare,L6RJA7lfIOmkHYwQbTfb,110
4554,27-08-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3361,05-03-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
2999,17-04-2015,beef,"Mici de porc, vită și oaie",oTDMEOtm4KwL79Jb9khC,8
2614,25-06-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4064,05-06-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
3567,04-10-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
2587,07-05-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
3783,17-06-2015,finished products,Amestec tartinabil sărat,oBJxkDZL6WFuhxYKcuD2,51
1923,14-02-2015,beverages,Coca-Cola zero zahăr,czSxbXDpGuO6qunFbyof,10
4835,19-02-2015,hamburger meat,Carne de vita pentru burger,VYHuSFYYt5oq8FrRgoPV,68
1514,24-08-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3154,22-06-2015,finished products,Amestec tartinabil sărat,oBJxkDZL6WFuhxYKcuD2,51
1313,25-12-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
2794,18-07-2015,ham,Șuncă Praga,cCdqUMwCR9jLNfnZ3SQw,67
2359,09-04-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
2238,09-03-2015,curd,Caș zvântat,3193Ddpsyzr0v4EbSy8f,40
3795,17-01-2015,bottled beer,Roșii Proaspete,yoXoEEiBZMSmKUvCPs00,11
3724,26-11-2015,curd,Caș zvântat,3193Ddpsyzr0v4EbSy8f,40
1152,05-03-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4559,16-03-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3922,27-02-2015,dessert,Desert cu alune și caramel Maxi King,nPN75l6nB9UU2l0ym7Zt,44
1709,22-04-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
2219,17-04-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
2206,17-10-2015,ham,Șuncă Praga,cCdqUMwCR9jLNfnZ3SQw,67
1752,06-04-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
3942,10-11-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
3296,17-08-2015,soda,Apă minerală naturală necarbogazoasă,vQX0CnTxs1i7cr5Itwrr,138
2257,05-02-2015,herbs,Ierburi de Provence,brqvNjeEVzkEqunvI84U,70
4313,28-07-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
2001,21-08-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
2449,08-07-2015,curd,Caș zvântat,3193Ddpsyzr0v4EbSy8f,40
4914,12-04-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
2764,24-07-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
4187,09-05-2015,dog food,"Recompensă pentru câini, os presat carne vită 10cm",ZDC5zb30oy9BPTgwmlmn,48
1392,20-04-2015,specialty bar,Sare specială pentru mașina de spălat vase,rUCQA4lZ4rPvOtp2Dfoo,143
3427,28-04-2015,curd,Caș zvântat,3193Ddpsyzr0v4EbSy8f,40
1411,20-02-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
3390,14-11-2015,soda,Apă minerală naturală necarbogazoasă,vQX0CnTxs1i7cr5Itwrr,138
4787,01-08-2015,beef,"Mici de porc, vită și oaie",oTDMEOtm4KwL79Jb9khC,8
3310,17-01-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
1782,10-10-2015,pork,Mușchiuleț de porc,pu4rYRkDANc5TejViKSr,111
3375,26-04-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
2760,07-01-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
4249,13-09-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
2904,06-06-2015,specialty chocolate,Specialități crocante de nucă de cocos,jiciCBQr52jePrxnv7jZ,145
4090,26-02-2015,curd,Caș zvântat,3193Ddpsyzr0v4EbSy8f,40
3060,05-07-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
3768,07-10-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
1232,21-01-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
1360,23-10-2015,pork,Mușchiuleț de porc,pu4rYRkDANc5TejViKSr,111
1107,01-10-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
2865,04-11-2015,pot plants,Îndulcitor,OHfGqLww3DDSFs396CjI,112
2958,14-06-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
2448,12-07-2015,butter,Unt Pur 82% grăsime,vEbGWj80oUvr3gZQXCgV,15
1222,24-09-2015,condensed milk,Lapte condensat,fSygGeaG20UqLUtxqDuq,35
2943,20-06-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
2270,11-08-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3812,21-07-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
1482,22-11-2015,beverages,Coca-Cola zero zahăr,czSxbXDpGuO6qunFbyof,10
4720,22-02-2015,beverages,Coca-Cola zero zahăr,czSxbXDpGuO6qunFbyof,10
1344,04-09-2015,bottled water,Apă minerală naturală plată,UN1Q1WKwu4OH4UsaccIx,12
2397,04-10-2015,newspapers,Ulei rafinat de floarea-soarelui de primă presă,q9xnG4msyPGQxxJWG74e,95
4182,12-05-2015,cleaner,Pămătuf pentru curățarea prafului Trap & lock cu un mâner scurt + 1 rezervă,NCVM7cXGVx9UP15scWAv,31
4487,10-07-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
3467,24-12-2015,newspapers,Ulei rafinat de floarea-soarelui de primă presă,q9xnG4msyPGQxxJWG74e,95
2443,15-11-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
2749,27-01-2015,misc. beverages,Kiwi,5ZSmitjFA8TiPqAnNyLK,92
4389,13-04-2015,white wine,Vin alb sec Chardonnay,F7h4iuQuoDsACpJDUzpQ,163
1674,04-12-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
4262,16-10-2015,meat,Carne tocată de vită,M324P5nE3H533uJAzgIw,90
2082,07-04-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
4494,06-01-2015,ice cream,Mini cornete de îngheţată cu aromă de vanilie şi cu bucăţi de ciocolată,TNfWl3GocBONHWlcMBxF,74
2460,28-09-2015,canned beer,"Pere jumătăți cu caramel, conservă",gRdzq6QC76SnrbUTSzH9,20
4509,29-11-2015,tropical fruit,Înghețată cornet cu aromă de vanilie și sos de fructe tropicale,tX3LYXmJOS6TN2PFMpFO,156
2267,03-07-2015,meat,Carne tocată de vită,M324P5nE3H533uJAzgIw,90
4891,05-09-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
3962,20-09-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
4964,18-07-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
2914,30-11-2015,meat,Carne tocată de vită,M324P5nE3H533uJAzgIw,90
2808,05-05-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
1085,15-08-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
3808,18-08-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
4149,07-01-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
2331,05-06-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
4475,03-04-2015,other vegetables,Cuburi pentru supă de legume bio,FZKSIYmsBDNJKqfJIp1f,102
2761,25-04-2015,citrus fruit,Iaurt grecesc cu citrice și semințe,TC23pV4aNYBXVhTMtBRZ,30
2620,14-12-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
3206,13-10-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
1226,13-04-2015,hard cheese,Brânză Formagia,IBrNqPLffkXE1zDr6BGL,69
2465,07-06-2015,turkey,Piept de curcan dezosat feliat,kPaU4LZhzEEfWe4x0GoS,157
3572,09-07-2015,pork,Mușchiuleț de porc,pu4rYRkDANc5TejViKSr,111
4387,08-05-2015,whole milk,Lapte bio 3.8% grăsime,IcwUMkUYjcT7xQRsb4sg,164
1555,27-03-2015,rolls/buns,Mini rulouri cu brânză Feta,s8rYjoy2tF8HkqLyjESG,122
1181,16-11-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
2814,11-05-2015,ice cream,Mini cornete de îngheţată cu aromă de vanilie şi cu bucăţi de ciocolată,TNfWl3GocBONHWlcMBxF,74
2912,28-01-2015,pip fruit,Vișine fără sâmburi,3vnv0j4bUpKOiofhqiiI,109
4667,12-01-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
2235,25-10-2015,soda,Apă minerală naturală necarbogazoasă,vQX0CnTxs1i7cr5Itwrr,138
2353,02-05-2015,soda,Apă minerală naturală necarbogazoasă,vQX0CnTxs1i7cr5Itwrr,138
3449,08-03-2015,sausage,Cârnați sticks,iKHF6NCPMXx1kPwGCNVp,130
1058,10-11-2015,root vegetables,Păstârnac rădăcină,allre8XJw5VOx0Gkq9Mc,123
1027,17-05-2015,pork,Mușchiuleț de porc,pu4rYRkDANc5TejViKSr,111
3302,22-05-2015,pork,Mușchiuleț de porc,pu4rYRkDANc5TejViKSr,111
2229,30-05-2015,chocolate,Nuci cu cremă de ciocolată,wrbVsKj3P15dKOoBAtU5,28
2188,15-08-2015,fruit/vegetable juice,Suc de fructe Mystic Dragon,ZyTYg2zRrGUEHRSyjgW7,64
1547,18-04-2015,pickled vegetables,Ciuperci murate Nameko,giHYBgzjWoEllhBR46Od,108
1649,30-06-2015,bottled water,Apă minerală naturală plată,UN1Q1WKwu4OH4UsaccIx,12
3254,10-09-2015,frankfurter,Crenvurști Frankfurter,iOTElrPmJ3jTo3RSP9EU,56
